"文字","画数"
"ょ","2"
"ゅ","2"
"ゃ","3"
"っ","1"
"ぉ","3"
"ぇ","2"
"ぅ","2"
"ぃ","2"
"ぁ","3"
"ヴ","5"
"ョ","3"
"ュ","2"
"ャ","2"
"ッ","3"
"ォ","3"
"ェ","3"
"ゥ","3"
"ィ","2"
"ァ","2"
"ポ","5"
"ペ","2"
"プ","2"
"ピ","3"
"パ","3"
"ボ","6"
"ベ","3"
"ブ","3"
"ビ","4"
"バ","4"
"ド","4"
"デ","5"
"ヅ","5"
"ヂ","5"
"ダ","5"
"ゾ","4"
"ゼ","4"
"ズ","4"
"ジ","5"
"ザ","5"
"ゴ","4"
"ゲ","5"
"グ","4"
"ギ","5"
"ガ","4"
"ン","2"
"ヲ","3"
"ヱ","3"
"ヰ","4"
"ワ","2"
"ロ","3"
"レ","1"
"ル","2"
"リ","2"
"ラ","2"
"ヨ","3"
"ユ","2"
"ヤ","2"
"モ","3"
"メ","2"
"ム","2"
"ミ","3"
"マ","2"
"ホ","4"
"ヘ","1"
"フ","1"
"ヒ","2"
"ハ","2"
"ノ","1"
"ネ","4"
"ヌ","2"
"ニ","2"
"ナ","2"
"ト","2"
"テ","3"
"ツ","3"
"チ","3"
"タ","3"
"ソ","2"
"セ","2"
"ス","2"
"シ","3"
"サ","3"
"コ","2"
"ケ","3"
"ク","2"
"キ","3"
"カ","2"
"オ","3"
"エ","3"
"ウ","3"
"イ","2"
"ア","2"
"ぽ","5"
"ぺ","2"
"ぷ","5"
"ぴ","2"
"ぱ","4"
"ぼ","6"
"べ","3"
"ぶ","6"
"び","3"
"ば","5"
"ど","4"
"で","3"
"づ","3"
"ぢ","4"
"だ","6"
"ぞ","3"
"ぜ","5"
"ず","4"
"じ","3"
"ざ","5"
"ご","4"
"げ","5"
"ぐ","3"
"ぎ","6"
"が","5"
"ん","1"
"を","3"
"ゑ","1"
"ゐ","1"
"わ","1"
"ろ","1"
"れ","2"
"る","1"
"り","2"
"ら","2"
"よ","2"
"ゆ","2"
"や","3"
"も","3"
"め","2"
"む","3"
"み","2"
"ま","3"
"ほ","4"
"へ","1"
"ふ","4"
"ひ","1"
"は","3"
"の","1"
"ね","3"
"ぬ","2"
"に","3"
"な","4"
"と","2"
"て","1"
"つ","1"
"ち","2"
"た","4"
"そ","1"
"せ","3"
"す","2"
"し","1"
"さ","3"
"こ","2"
"け","3"
"く","1"
"き","4"
"か","3"
"お","3"
"え","2"
"う","2"
"い","2"
"あ","3"
"鬱","29"
"廳","25"
"鷺","24"
"釀","24"
"讓","24"
"鱗","24"
"麟","24"
"鷹","24"
"驗","23"
"鱒","23"
"鷲","23"
"纖","23"
"巖","23"
"顯","23"
"鑑","23"
"穰","22"
"臟","22"
"覽","22"
"驍","22"
"讃","22"
"鑄","22"
"饗","22"
"鷗","22"
"聽","22"
"疊","22"
"響","22"
"灘","22"
"籠","22"
"襲","22"
"驚","22"
"鰯","21"
"飜","21"
"纏","21"
"轟","21"
"櫻","21"
"攝","21"
"鷄","21"
"蠟","21"
"欄","21"
"露","21"
"躍","21"
"魔","21"
"鶴","21"
"顧","21"
"艦","21"
"耀","20"
"孃","20"
"巌","20"
"纂","20"
"嚴","20"
"騷","20"
"馨","20"
"欄","20"
"騰","20"
"籍","20"
"醸","20"
"譲","20"
"鐘","20"
"懸","20"
"響","20"
"護","20"
"競","20"
"議","20"
"獸","19"
"懲","19"
"瀧","19"
"蘇","19"
"瀕","19"
"壞","19"
"鵬","19"
"蟹","19"
"類","19"
"懷","19"
"鯛","19"
"寵","19"
"麒","19"
"曝","19"
"蘭","19"
"禱","19"
"繡","19"
"繫","19"
"瀨","19"
"簾","19"
"櫛","19"
"櫓","19"
"贈","19"
"難","19"
"顚","19"
"禰","19"
"麓","19"
"麗","19"
"離","19"
"羅","19"
"霧","19"
"簿","19"
"譜","19"
"爆","19"
"覇","19"
"藻","19"
"瀬","19"
"髄","19"
"蹴","19"
"璽","19"
"鯨","19"
"鶏","19"
"繰","19"
"艶","19"
"韻","19"
"臓","19"
"警","19"
"識","19"
"鏡","19"
"願","19"
"糧","18"
"藍","18"
"濫","18"
"癒","18"
"禮","18"
"雛","18"
"鵜","18"
"櫂","18"
"簞","18"
"雜","18"
"叢","18"
"襖","18"
"壘","18"
"麿","18"
"儲","18"
"蹟","18"
"謹","18"
"燿","18"
"轉","18"
"藥","18"
"藝","18"
"醬","18"
"蟬","18"
"藏","18"
"鎧","18"
"鞭","18"
"穣","18"
"鯉","18"
"鎭","18"
"翻","18"
"癖","18"
"璧","18"
"覆","18"
"藩","18"
"闘","18"
"藤","18"
"鎮","18"
"懲","18"
"贈","18"
"騒","18"
"礎","18"
"繕","18"
"瞬","18"
"鎖","18"
"顕","18"
"繭","18"
"襟","18"
"騎","18"
"韓","18"
"鎌","18"
"顎","18"
"穫","18"
"臨","18"
"難","18"
"簡","18"
"職","18"
"織","18"
"額","18"
"類","18"
"験","18"
"観","18"
"題","18"
"曜","18"
"顔","18"
"磯","17"
"禪","17"
"應","17"
"瓢","17"
"檀","17"
"擢","17"
"濕","17"
"薩","17"
"藁","17"
"檎","17"
"燦","17"
"穗","17"
"壕","17"
"鴻","17"
"鞠","17"
"瞥","17"
"縱","17"
"霞","17"
"擊","17"
"彌","17"
"謠","17"
"嶺","17"
"燭","17"
"檜","17"
"篠","17"
"濡","17"
"輿","17"
"繁","17"
"檢","17"
"曙","17"
"鍬","17"
"駿","17"
"螺","17"
"薰","17"
"徽","17"
"戲","17"
"鍊","17"
"齢","17"
"瞭","17"
"療","17"
"翼","17"
"闇","17"
"頻","17"
"鍋","17"
"謎","17"
"瞳","17"
"謄","17"
"聴","17"
"鍛","17"
"濯","17"
"戴","17"
"霜","17"
"燥","17"
"鮮","17"
"繊","17"
"礁","17"
"償","17"
"醜","17"
"爵","17"
"擦","17"
"懇","17"
"購","17"
"鍵","17"
"謙","17"
"謹","17"
"矯","17"
"犠","17"
"擬","17"
"環","17"
"轄","17"
"嚇","17"
"臆","17"
"曖","17"
"覧","17"
"優","17"
"縮","17"
"厳","17"
"績","17"
"謝","17"
"講","17"
"錬","16"
"隷","16"
"隣","16"
"鮎","16"
"錐","16"
"諺","16"
"窺","16"
"鋸","16"
"燎","16"
"錘","16"
"器","16"
"鞘","16"
"錆","16"
"叡","16"
"橘","16"
"澪","16"
"勳","16"
"輯","16"
"醐","16"
"錄","16"
"蕗","16"
"謁","16"
"縣","16"
"謂","16"
"歷","16"
"憐","16"
"鴨","16"
"錫","16"
"戰","16"
"樽","16"
"燕","16"
"燒","16"
"薗","16"
"橙","16"
"縞","16"
"險","16"
"薙","16"
"橫","16"
"靜","16"
"燈","16"
"黛","16"
"曉","16"
"默","16"
"蹄","16"
"蕾","16"
"諸","16"
"衞","16"
"曆","16"
"龍","16"
"醍","16"
"樫","16"
"賴","16"
"頼","16"
"謡","16"
"擁","16"
"融","16"
"諭","16"
"麺","16"
"磨","16"
"頰","16"
"謀","16"
"膨","16"
"縫","16"
"壁","16"
"避","16"
"繁","16"
"縛","16"
"薄","16"
"濃","16"
"曇","16"
"篤","16"
"賭","16"
"諦","16"
"緻","16"
"壇","16"
"濁","16"
"膳","16"
"薦","16"
"醒","16"
"薪","16"
"錠","16"
"嬢","16"
"壌","16"
"獣","16"
"儒","16"
"諮","16"
"錯","16"
"墾","16"
"衡","16"
"錮","16"
"賢","16"
"憩","16"
"薫","16"
"錦","16"
"凝","16"
"還","16"
"憾","16"
"獲","16"
